,Drug,Target_ID,Y
1618,mol_78698,Q9UBE8,11.1
1619,mol_78698,Q9Y243,11.1
2666,mol_8964,O00311,11.999998417
2667,mol_8964,O00418,11.500000186
2668,mol_8964,O00444,12.299998172
2669,mol_8964,O14757,11.599999679000002
2670,mol_8964,O15075,11.1
2671,mol_8964,O15264,11.200000128
2672,mol_8964,O15530,12.1
2673,mol_8964,O43293,12.1
2674,mol_8964,O60674,13.200015437
2675,mol_8964,O94806,11.999998417
2676,mol_8964,O95819,12.299998172
2677,mol_8964,O96013,12.799991797
2678,mol_8964,O96017,12.199999035
2679,mol_8964,P00519,11.999998417
2680,mol_8964,P00533,11.800000504000002
2681,mol_8964,P05129,11.300000237
2682,mol_8964,P06213,12.399997603
2683,mol_8964,P06239,12.399997603
2684,mol_8964,P06241,11.800000504000002
2685,mol_8964,P06493,13.299970641
2686,mol_8964,P07948,13.1
2687,mol_8964,P07949,12.599996932
2688,mol_8964,P08631,11.599999679000002
2689,mol_8964,P08922,13.99997427
2690,mol_8964,P09619,12.1
2691,mol_8964,P10721,11.500000186
2692,mol_8964,P12931,12.399997603
2693,mol_8964,P15735,11.400000202
2694,mol_8964,P16234,11.800000504000002
2695,mol_8964,P17948,12.199999035
2696,mol_8964,P23443,11.599999679000002
2697,mol_8964,P27448,12.799991797
2698,mol_8964,P29597,12.599996932
2699,mol_8964,P30530,12.799991797
2700,mol_8964,P31751,11.200000128
2701,mol_8964,P36888,12.499996913
2702,mol_8964,P42679,13.1
2703,mol_8964,P42685,13.500007822
2704,mol_8964,P43405,11.900000875
2705,mol_8964,P45983,11.800000504000002
2706,mol_8964,P45984,11.900000875
2707,mol_8964,P48729,11.400000202
2708,mol_8964,P48730,11.200000128
2709,mol_8964,P49137,11.200000128
2710,mol_8964,P49336,11.500000186
2711,mol_8964,P49760,13.000008766
2712,mol_8964,P49840,13.200015437
2713,mol_8964,P49841,13.1
2714,mol_8964,P50613,13.8000571
2715,mol_8964,P50750,13.299970641
2716,mol_8964,P51451,12.499996913
2717,mol_8964,P51617,11.800000504000002
2718,mol_8964,P51812,12.399997603
2719,mol_8964,P51817,12.199999035
2720,mol_8964,P51955,11.300000237
2721,mol_8964,P52333,12.1
2722,mol_8964,P53667,11.599999679000002
2723,mol_8964,P53778,11.699999383
2725,mol_8964,P68400,12.1
2726,mol_8964,P78368,11.500000186
2727,mol_8964,Q00535,13.899970733
2728,mol_8964,Q02750,11.599999679000002
2729,mol_8964,Q04759,12.499996913
2730,mol_8964,Q04912,12.699997654
2731,mol_8964,Q05397,15.157705076
2732,mol_8964,Q05513,11.200000128
2733,mol_8964,Q05655,11.900000875
2734,mol_8964,Q06418,11.900000875
2735,mol_8964,Q07912,11.999998417
2736,mol_8964,Q08881,13.200015437
2737,mol_8964,Q13131,12.499996913
2738,mol_8964,Q13153,11.500000186
2739,mol_8964,Q13188,12.399997603
2740,mol_8964,Q13237,11.900000875
2741,mol_8964,Q13464,11.800000504000002
2742,mol_8964,Q13554,11.200000128
2743,mol_8964,Q13555,11.699999383
2744,mol_8964,Q13557,11.500000186
2745,mol_8964,Q13627,11.999998417
2746,mol_8964,Q13976,11.800000504000002
2747,mol_8964,Q14012,11.599999679000002
2748,mol_8964,Q14289,14.321062695999998
2749,mol_8964,Q14680,13.200015437
2750,mol_8964,Q15303,11.500000186
2751,mol_8964,Q16288,12.199999035
2752,mol_8964,Q16539,11.500000186
2753,mol_8964,Q16620,13.500007822
2754,mol_8964,Q16644,11.1
2755,mol_8964,Q7L7X3,12.799991797
2756,mol_8964,Q86V86,11.200000128
2757,mol_8964,Q8IU85,11.699999383
2758,mol_8964,Q8IW41,11.900000875
2759,mol_8964,Q8NE63,12.399997603
2760,mol_8964,Q96L34,13.399988938
2761,mol_8964,Q96RR4,12.599996932
2762,mol_8964,Q96SB4,11.900000875
2763,mol_8964,Q9BXA7,11.900000875
2764,mol_8964,Q9BZL6,11.999998417
2765,mol_8964,Q9H0K1,12.799991797
2766,mol_8964,Q9H2G2,12.699997654
2767,mol_8964,Q9H3Y6,11.900000875
2768,mol_8964,Q9HAZ1,13.299970641
2769,mol_8964,Q9HBH9,11.1
2770,mol_8964,Q9HBY8,11.699999383
2771,mol_8964,Q9HCP0,11.500000186
2772,mol_8964,Q9NWZ3,12.499996913
2773,mol_8964,Q9NYL2,11.400000202
2774,mol_8964,Q9UEE5,11.999998417
2775,mol_8964,Q9UHD2,11.800000504000002
2776,mol_8964,Q9UQM7,11.500000186
2777,mol_8964,Q9Y463,11.999998417
2778,mol_8964,Q9Y4K4,13.000008766
2779,mol_8964,Q9Y6M4,11.300000237
3336,mol_253765,O00311,11.1
3337,mol_253765,O14757,11.1
3338,mol_253765,O14920,11.1
3339,mol_253765,O14965,11.1
3340,mol_253765,O60674,11.1
3341,mol_253765,P00519,11.1
3342,mol_253765,P00533,11.1
3343,mol_253765,P06213,11.1
3344,mol_253765,P06239,11.1
3345,mol_253765,P06493,13.32184875
3346,mol_253765,P07949,11.1
3347,mol_253765,P08069,11.1
3348,mol_253765,P10721,11.1
3349,mol_253765,P11362,11.1
3350,mol_253765,P11802,13.307608311
3351,mol_253765,P17252,11.1
3352,mol_253765,P24941,14.196910013
3353,mol_253765,P28482,11.1
3354,mol_253765,P35968,11.1
3355,mol_253765,P36888,11.1
3356,mol_253765,P49137,11.1
3357,mol_253765,P49841,13.202372909
3358,mol_253765,P50613,14.1
3359,mol_253765,P50750,12.960120914
3360,mol_253765,P53350,11.1
3361,mol_253765,Q00535,14.401029995999998
3362,mol_253765,Q15078,14.401029995999998
3363,mol_253765,Q15118,11.1
3364,mol_253765,Q16539,11.1
3365,mol_253765,Q96GD4,11.1
3366,mol_253765,Q9HC98,11.1
3367,mol_253765,Q9UM73,11.1
3683,mol_139620,O00311,11.699999383
3684,mol_139620,O00444,11.500000186
3685,mol_139620,O14757,11.200000128
3686,mol_139620,O15264,11.200000128
3687,mol_139620,O43781,11.300000237
3688,mol_139620,O75116,11.200000128
3689,mol_139620,O75582,11.800000504000002
3690,mol_139620,O95819,11.200000128
3691,mol_139620,P04629,11.699999383
3692,mol_139620,P05129,11.200000128
3693,mol_139620,P06213,11.400000202
3694,mol_139620,P06493,11.200000128
3695,mol_139620,P07332,11.800000504000002
3696,mol_139620,P07333,11.699999383
3697,mol_139620,P08581,11.599999679000002
3698,mol_139620,P08922,11.800000504000002
3699,mol_139620,P11309,12.799991797
3700,mol_139620,P12931,11.800000504000002
3701,mol_139620,P15735,11.400000202
3702,mol_139620,P23443,11.300000237
3703,mol_139620,P27448,11.400000202
3704,mol_139620,P28482,11.200000128
3705,mol_139620,P29317,11.599999679000002
3706,mol_139620,P31751,11.200000128
3707,mol_139620,P35916,11.300000237
3708,mol_139620,P35968,11.200000128
3709,mol_139620,P36888,11.699999383
3710,mol_139620,P42679,11.800000504000002
3711,mol_139620,P42685,11.699999383
3712,mol_139620,P45983,11.599999679000002
3713,mol_139620,P45984,11.500000186
3714,mol_139620,P48729,11.300000237
3715,mol_139620,P49137,11.200000128
3716,mol_139620,P49760,11.200000128
3717,mol_139620,P49840,11.200000128
3718,mol_139620,P49841,11.400000202
3719,mol_139620,P51617,11.200000128
3720,mol_139620,P51812,11.200000128
3721,mol_139620,P51955,11.1
3722,mol_139620,P51957,11.300000237
3723,mol_139620,P53667,11.1
3724,mol_139620,P53778,11.300000237
3725,mol_139620,P68400,11.300000237
3726,mol_139620,P78368,11.200000128
3727,mol_139620,Q00535,11.1
3728,mol_139620,Q05513,11.200000128
3729,mol_139620,Q05655,11.200000128
3730,mol_139620,Q12851,11.300000237
3731,mol_139620,Q13131,11.900000875
3732,mol_139620,Q13153,11.1
3733,mol_139620,Q13464,11.1
3734,mol_139620,Q13554,11.200000128
3735,mol_139620,Q13557,11.300000237
3736,mol_139620,Q13627,11.300000237
3737,mol_139620,Q13882,11.699999383
3738,mol_139620,Q16513,11.200000128
3739,mol_139620,Q5VT25,11.1
3740,mol_139620,Q7KZI7,11.200000128
3741,mol_139620,Q8NE63,11.200000128
3742,mol_139620,Q8TDC3,11.1
3743,mol_139620,Q96GD4,11.300000237
3744,mol_139620,Q96KB5,11.300000237
3745,mol_139620,Q9BZL6,11.1
3746,mol_139620,Q9H2G2,11.1
3747,mol_139620,Q9H2X6,11.599999679000002
3748,mol_139620,Q9H4B4,11.200000128
3749,mol_139620,Q9HAZ1,11.1
3750,mol_139620,Q9HBH9,11.1
3751,mol_139620,Q9HCP0,11.300000237
3752,mol_139620,Q9NR20,11.200000128
3753,mol_139620,Q9NWZ3,11.1
3754,mol_139620,Q9NYL2,11.200000128
3755,mol_139620,Q9UEE5,11.500000186
3756,mol_139620,Q9Y243,11.1
3757,mol_139620,Q9Y4K4,11.500000186
3758,mol_139620,Q9Y6M4,11.300000237
3759,mol_283980,O00418,11.500000186
3760,mol_283980,O00444,11.800000504000002
3761,mol_283980,O14757,11.200000128
3762,mol_283980,O14965,11.900000875
3763,mol_283980,O15075,11.1
3764,mol_283980,O15530,11.500000186
3765,mol_283980,O43293,11.999998417
3766,mol_283980,O60674,11.900000875
3767,mol_283980,O75116,12.499996913
3768,mol_283980,O94806,11.1
3769,mol_283980,O95819,11.900000875
3770,mol_283980,O96013,11.400000202
3771,mol_283980,P00519,12.299998172
3772,mol_283980,P00533,11.800000504000002
3773,mol_283980,P04626,11.900000875
3774,mol_283980,P04629,11.699999383
3775,mol_283980,P05129,11.200000128
3776,mol_283980,P06213,11.400000202
3777,mol_283980,P06239,11.699999383
3778,mol_283980,P06241,12.199999035
3779,mol_283980,P07333,11.699999383
3780,mol_283980,P07949,11.999998417
3781,mol_283980,P08069,11.800000504000002
3782,mol_283980,P08581,11.599999679000002
3783,mol_283980,P08922,12.199999035
3784,mol_283980,P10721,11.999998417
3785,mol_283980,P12931,11.800000504000002
3786,mol_283980,P15735,11.400000202
3787,mol_283980,P16591,11.900000875
3788,mol_283980,P17948,12.499996913
3789,mol_283980,P27448,11.300000237
3790,mol_283980,P28482,11.200000128
3791,mol_283980,P29597,11.800000504000002
3792,mol_283980,P30530,11.800000504000002
3793,mol_283980,P31749,11.200000128
3794,mol_283980,P31751,11.200000128
3795,mol_283980,P35968,11.200000128
3796,mol_283980,P36888,11.699999383
3797,mol_283980,P42679,11.800000504000002
3798,mol_283980,P42685,11.699999383
3799,mol_283980,P43405,11.900000875
3800,mol_283980,P45983,11.599999679000002
3801,mol_283980,P45984,11.500000186
3802,mol_283980,P48729,12.1
3803,mol_283980,P49137,11.200000128
3804,mol_283980,P49760,13.200015437
3805,mol_283980,P49841,11.300000237
3806,mol_283980,P51451,11.900000875
3807,mol_283980,P51812,11.200000128
3808,mol_283980,P51817,11.900000875
3809,mol_283980,P51957,11.300000237
3810,mol_283980,P52333,11.900000875
3811,mol_283980,P53350,11.200000128
3812,mol_283980,P53667,11.800000504000002
3813,mol_283980,P53778,11.300000237
3814,mol_283980,P68400,11.300000237
3815,mol_283980,P78368,12.399997603
3816,mol_283980,Q00535,11.1
3817,mol_283980,Q05397,11.900000875
3818,mol_283980,Q05513,11.200000128
3819,mol_283980,Q05655,11.200000128
3820,mol_283980,Q06418,11.800000504000002
3821,mol_283980,Q08881,11.900000875
3822,mol_283980,Q12851,11.400000202
3823,mol_283980,Q13131,11.900000875
3824,mol_283980,Q13153,11.1
3825,mol_283980,Q13188,11.200000128
3826,mol_283980,Q13464,12.499996913
3827,mol_283980,Q13555,11.300000237
3828,mol_283980,Q13557,11.300000237
3829,mol_283980,Q13627,13.299970641
3830,mol_283980,Q13882,11.699999383
3831,mol_283980,Q14012,11.400000202
3832,mol_283980,Q14680,11.900000875
3833,mol_283980,Q15303,11.500000186
3834,mol_283980,Q16513,11.900000875
3835,mol_283980,Q16620,11.400000202
3836,mol_283980,Q16644,11.1
3837,mol_283980,Q5VT25,11.1
3838,mol_283980,Q7L7X3,11.1
3839,mol_283980,Q86V86,11.200000128
3840,mol_283980,Q8IW41,11.900000875
3841,mol_283980,Q8NE63,12.499996913
3842,mol_283980,Q96GD4,12.199999035
3843,mol_283980,Q96KB5,11.1
3844,mol_283980,Q96PF2,11.900000875
3845,mol_283980,Q9BXA7,11.900000875
3846,mol_283980,Q9BZL6,11.1
3847,mol_283980,Q9H3Y6,11.900000875
3848,mol_283980,Q9H4B4,11.200000128
3849,mol_283980,Q9HAZ1,14.500116928
3850,mol_283980,Q9HBH9,11.800000504000002
3851,mol_283980,Q9HCP0,11.699999383
3852,mol_283980,Q9NYL2,11.200000128
3853,mol_283980,Q9UEE5,12.599996932
3854,mol_283980,Q9Y243,11.400000202
3855,mol_283980,Q9Y4K4,11.300000237
3856,mol_283980,Q9Y6M4,11.300000237
4898,mol_140667,O00418,11.1
4899,mol_140667,P00519,11.1
4900,mol_140667,P04629,11.1
4901,mol_140667,P05771,11.1
4902,mol_140667,P06213,11.1
4903,mol_140667,P07948,11.1
4904,mol_140667,P07949,11.1
4905,mol_140667,P08581,11.1
4906,mol_140667,P10721,11.1
4907,mol_140667,P11309,11.1
4908,mol_140667,P11362,11.1
4909,mol_140667,P11802,11.1
4910,mol_140667,P17612,11.1
4911,mol_140667,P23458,11.1
4912,mol_140667,P24941,11.1
4913,mol_140667,P28482,11.1
4914,mol_140667,P29317,11.1
4915,mol_140667,P35916,11.1
4916,mol_140667,P35968,11.1
4917,mol_140667,P43405,11.1
4918,mol_140667,P49137,11.1
4919,mol_140667,P49841,11.1
4920,mol_140667,P52333,11.1
4921,mol_140667,P53350,14.798970004
4922,mol_140667,Q00535,11.1
4923,mol_140667,Q05397,11.1
4924,mol_140667,Q13882,11.1
4925,mol_140667,Q14680,12.228427064000002
4926,mol_140667,Q15078,11.1
4927,mol_140667,Q15118,11.1
4928,mol_140667,Q9H4B4,11.1
4929,mol_140667,Q9HC98,11.1
4930,mol_140667,Q9P1W9,11.1
4931,mol_140667,Q9P289,11.1
4932,mol_140667,Q9UM73,11.1
19794,mol_223993,O00311,11.999998417
19795,mol_223993,O14965,13.565145627
19796,mol_223993,O15075,11.1
19797,mol_223993,O15530,13.399988938
19798,mol_223993,O43293,11.999998417
19799,mol_223993,O60674,13.000008766
19800,mol_223993,O75116,11.200000128
19801,mol_223993,O94806,11.500000186
19802,mol_223993,O95819,11.500000186
19803,mol_223993,O96017,13.74394295
19804,mol_223993,P00519,12.399997603
19805,mol_223993,P00533,11.900000875
19806,mol_223993,P04626,11.900000875
19807,mol_223993,P04629,12.199999035
19808,mol_223993,P05129,11.500000186
19809,mol_223993,P06213,12.399997603
19810,mol_223993,P06239,12.199999035
19811,mol_223993,P06493,12.199999035
19812,mol_223993,P07333,12.199999035
19813,mol_223993,P08922,13.8000571
19814,mol_223993,P09619,13.399988938
19815,mol_223993,P10721,12.799991797
19816,mol_223993,P11309,11.400000202
19817,mol_223993,P11362,13.720135224000002
19818,mol_223993,P11802,11.1
19819,mol_223993,P15735,11.599999679000002
19820,mol_223993,P16234,12.599996932
19821,mol_223993,P16591,13.000008766
19822,mol_223993,P17612,11.599999679000002
19823,mol_223993,P17948,13.399988938
19824,mol_223993,P22607,13.699980365
19825,mol_223993,P24941,12.522383575
19826,mol_223993,P27448,11.699999383
19827,mol_223993,P28482,11.900000875
19828,mol_223993,P29317,13.399988938
19829,mol_223993,P29597,13.399988938
19830,mol_223993,P31749,11.200000128
19831,mol_223993,P31751,11.200000128
19832,mol_223993,P35968,14.192820385
19833,mol_223993,P36888,13.200015437
19834,mol_223993,P41743,11.400000202
19835,mol_223993,P42679,11.800000504000002
19836,mol_223993,P43405,12.899998135
19837,mol_223993,P45983,11.699999383
19838,mol_223993,P45984,11.699999383
19839,mol_223993,P48729,11.400000202
19840,mol_223993,P48730,11.200000128
19841,mol_223993,P49137,11.200000128
19842,mol_223993,P49336,11.500000186
19843,mol_223993,P49760,11.699999383
19844,mol_223993,P49840,13.399988938
19845,mol_223993,P49841,13.8000571
19846,mol_223993,P50750,11.900000875
19847,mol_223993,P51451,13.299970641
19848,mol_223993,P51812,12.899998135
19849,mol_223993,P51955,11.300000237
19850,mol_223993,P51957,11.300000237
19851,mol_223993,P53350,11.300000237
19852,mol_223993,P53667,12.399997603
19853,mol_223993,P68400,11.699999383
19854,mol_223993,P78368,11.200000128
19855,mol_223993,Q00535,12.899998135
19856,mol_223993,Q02750,11.800000504000002
19857,mol_223993,Q04771,12.699997654
19858,mol_223993,Q04912,13.500007822
19859,mol_223993,Q05397,13.99997427
19860,mol_223993,Q05655,11.599999679000002
19861,mol_223993,Q06187,12.799991797
19862,mol_223993,Q06418,11.699999383
19863,mol_223993,Q07912,11.900000875
19864,mol_223993,Q08881,13.000008766
19865,mol_223993,Q12851,12.499996913
19866,mol_223993,Q13131,12.299998172
19867,mol_223993,Q13153,12.599996932
19868,mol_223993,Q13188,13.500007822
19869,mol_223993,Q13464,11.699999383
19870,mol_223993,Q13555,11.300000237
19871,mol_223993,Q13557,11.300000237
19872,mol_223993,Q13627,12.199999035
19873,mol_223993,Q13976,11.800000504000002
19874,mol_223993,Q14012,11.599999679000002
19875,mol_223993,Q14164,11.699999383
19876,mol_223993,Q15303,11.800000504000002
19877,mol_223993,Q16288,13.1
19878,mol_223993,Q16513,11.800000504000002
19879,mol_223993,Q16539,12.199999035
19880,mol_223993,Q16620,13.1
19882,mol_223993,Q5VT25,11.1
19883,mol_223993,Q7L7X3,11.500000186
19884,mol_223993,Q86V86,11.200000128
19885,mol_223993,Q8IU85,11.900000875
19886,mol_223993,Q96KB5,11.1
19887,mol_223993,Q96SB4,11.599999679000002
19888,mol_223993,Q9BXA7,11.900000875
19889,mol_223993,Q9BZL6,11.1
19890,mol_223993,Q9H2G2,13.500007822
19891,mol_223993,Q9H3Y6,11.900000875
19892,mol_223993,Q9HAZ1,12.1
19893,mol_223993,Q9HBH9,11.200000128
19894,mol_223993,Q9HBY8,11.200000128
19895,mol_223993,Q9HCP0,11.300000237
19896,mol_223993,Q9NR20,11.200000128
19897,mol_223993,Q9NWZ3,12.199999035
19898,mol_223993,Q9P1W9,11.900000875
19899,mol_223993,Q9UHD2,11.699999383
19900,mol_223993,Q9UM73,11.999998417
19901,mol_223993,Q9UQM7,11.300000237
19902,mol_223993,Q9Y463,13.600038134000002
19903,mol_223993,Q9Y4K4,11.699999383
19904,mol_223993,Q9Y6M4,11.300000237
21696,mol_6322,O00311,11.999998417
21697,mol_6322,O14757,11.200000128
21698,mol_6322,O14965,11.900000875
21699,mol_6322,O15264,11.300000237
21700,mol_6322,O43293,11.999998417
21701,mol_6322,O43781,12.299998172
21702,mol_6322,O60674,11.900000875
21703,mol_6322,O94806,11.500000186
21704,mol_6322,O95819,13.299970641
21705,mol_6322,P00519,12.299998172
21706,mol_6322,P00533,11.800000504000002
21707,mol_6322,P04626,11.900000875
21708,mol_6322,P04629,11.699999383
21709,mol_6322,P06213,11.400000202
21710,mol_6322,P06239,11.800000504000002
21711,mol_6322,P06241,12.199999035
21712,mol_6322,P06493,12.299998172
21713,mol_6322,P07333,11.699999383
21714,mol_6322,P07949,13.1
21715,mol_6322,P08069,11.800000504000002
21716,mol_6322,P09619,11.800000504000002
21717,mol_6322,P10721,11.999998417
21718,mol_6322,P11309,11.300000237
21719,mol_6322,P11362,11.500000186
21720,mol_6322,P17612,11.999998417
21721,mol_6322,P22607,12.199999035
21722,mol_6322,P24941,13.1
21723,mol_6322,P28482,11.200000128
21724,mol_6322,P29317,11.599999679000002
21725,mol_6322,P29376,11.699999383
21726,mol_6322,P29597,11.800000504000002
21727,mol_6322,P31751,11.200000128
21728,mol_6322,P34947,11.500000186
21729,mol_6322,P35968,13.000008766
21730,mol_6322,P43405,12.199999035
21731,mol_6322,P45983,11.599999679000002
21732,mol_6322,P45984,11.500000186
21733,mol_6322,P48729,11.500000186
21734,mol_6322,P48730,11.200000128
21735,mol_6322,P49336,11.500000186
21736,mol_6322,P49760,13.1
21737,mol_6322,P50750,11.900000875
21738,mol_6322,P51451,12.1
21739,mol_6322,P51617,11.300000237
21740,mol_6322,P51812,11.500000186
21741,mol_6322,P51817,11.900000875
21742,mol_6322,P51955,11.1
21743,mol_6322,P51957,11.300000237
21744,mol_6322,P52333,11.900000875
21745,mol_6322,P53350,11.500000186
21746,mol_6322,P68400,11.599999679000002
21747,mol_6322,P78368,11.200000128
21748,mol_6322,Q02750,11.599999679000002
21749,mol_6322,Q04771,12.299998172
21750,mol_6322,Q04912,11.500000186
21751,mol_6322,Q06187,11.999998417
21752,mol_6322,Q06418,11.800000504000002
21753,mol_6322,Q08881,11.900000875
21754,mol_6322,Q13131,11.900000875
21755,mol_6322,Q13153,11.1
21756,mol_6322,Q13188,12.399997603
21757,mol_6322,Q13554,11.200000128
21758,mol_6322,Q13557,11.300000237
21759,mol_6322,Q13627,12.699997654
21760,mol_6322,Q13882,13.899970733
21761,mol_6322,Q13976,11.800000504000002
21762,mol_6322,Q14012,11.900000875
21763,mol_6322,Q14680,11.900000875
21764,mol_6322,Q16288,11.999998417
21765,mol_6322,Q16539,11.500000186
21766,mol_6322,Q16620,11.500000186
21768,mol_6322,Q5VT25,11.1
21769,mol_6322,Q7L7X3,11.300000237
21770,mol_6322,Q86V86,13.000008766
21771,mol_6322,Q8IU85,11.699999383
21772,mol_6322,Q8IW41,11.900000875
21773,mol_6322,Q8NE63,13.399988938
21774,mol_6322,Q96KB5,11.1
21775,mol_6322,Q96PF2,11.900000875
21776,mol_6322,Q96SB4,11.400000202
21777,mol_6322,Q9H2X6,13.399988938
21778,mol_6322,Q9H3Y6,11.900000875
21779,mol_6322,Q9H4B4,11.200000128
21780,mol_6322,Q9HBH9,11.1
21781,mol_6322,Q9HBY8,11.1
21782,mol_6322,Q9HCP0,11.300000237
21783,mol_6322,Q9NR20,11.200000128
21784,mol_6322,Q9NWZ3,11.400000202
21785,mol_6322,Q9NYL2,11.300000237
21786,mol_6322,Q9UEE5,12.399997603
21787,mol_6322,Q9UM73,11.999998417
21788,mol_6322,Q9UQM7,11.200000128
21789,mol_6322,Q9Y243,11.1
21790,mol_6322,Q9Y463,11.699999383
21791,mol_6322,Q9Y4K4,11.500000186
21792,mol_6322,Q9Y6M4,11.300000237
22531,mol_214973,O00311,12.199999035
22532,mol_214973,O00444,13.500007822
22533,mol_214973,O14757,11.599999679000002
22534,mol_214973,O14965,12.699997654
22535,mol_214973,O43293,11.699999383
22536,mol_214973,O75116,11.999998417
22537,mol_214973,O94806,11.500000186
22538,mol_214973,O95819,11.800000504000002
22539,mol_214973,O96013,11.599999679000002
22540,mol_214973,P04629,14.901342913
22541,mol_214973,P06239,12.399997603
22542,mol_214973,P06241,12.499996913
22543,mol_214973,P07949,13.500007822
22544,mol_214973,P08581,12.199999035
22545,mol_214973,P09619,11.800000504000002
22546,mol_214973,P11309,11.300000237
22547,mol_214973,P11362,12.699997654
22548,mol_214973,P12931,13.600038134000002
22549,mol_214973,P16234,11.699999383
22550,mol_214973,P22607,12.899998135
22551,mol_214973,P29376,14.901342913
22552,mol_214973,P30530,13.500007822
22553,mol_214973,P34947,11.699999383
22554,mol_214973,P35916,12.799991797
22555,mol_214973,P35968,12.499996913
22556,mol_214973,P36507,11.500000186
22557,mol_214973,P36888,12.599996932
22558,mol_214973,P43405,12.299998172
22559,mol_214973,P45983,11.400000202
22560,mol_214973,P45984,11.500000186
22561,mol_214973,P48729,11.500000186
22562,mol_214973,P50613,11.999998417
22563,mol_214973,P50750,11.900000875
22564,mol_214973,P51451,12.799991797
22565,mol_214973,P51812,11.999998417
22566,mol_214973,P51817,11.699999383
22567,mol_214973,P51955,11.599999679000002
22568,mol_214973,Q00535,11.599999679000002
22569,mol_214973,Q02750,11.599999679000002
22570,mol_214973,Q04759,11.900000875
22571,mol_214973,Q04771,11.500000186
22572,mol_214973,Q06187,12.899998135
22573,mol_214973,Q06418,11.599999679000002
22574,mol_214973,Q12851,12.499996913
22575,mol_214973,Q13131,12.699997654
22576,mol_214973,Q13188,11.800000504000002
22577,mol_214973,Q13464,11.999998417
22578,mol_214973,Q13557,11.599999679000002
22579,mol_214973,Q13627,11.800000504000002
22580,mol_214973,Q16288,14.901342913
22581,mol_214973,Q16513,11.999998417
22582,mol_214973,Q16539,11.500000186
22584,mol_214973,Q8N4C8,11.900000875
22585,mol_214973,Q8NE63,11.200000128
22586,mol_214973,Q96GD4,12.299998172
22587,mol_214973,Q9H2X6,11.900000875
22588,mol_214973,Q9NWZ3,11.1
22589,mol_214973,Q9UEE5,11.599999679000002
22590,mol_214973,Q9UM73,15.1
22591,mol_214973,Q9UQM7,11.500000186
22592,mol_214973,Q9Y463,11.699999383
40474,mol_270147,O00418,11.500000186
40475,mol_270147,O00444,11.500000186
40476,mol_270147,O14757,11.200000128
40477,mol_270147,O14965,11.900000875
40478,mol_270147,O15264,11.200000128
40479,mol_270147,O15530,11.500000186
40480,mol_270147,O43293,11.999998417
40481,mol_270147,O60674,11.900000875
40482,mol_270147,O75582,11.800000504000002
40483,mol_270147,O95819,11.1
40484,mol_270147,O96013,11.400000202
40485,mol_270147,O96017,11.900000875
40486,mol_270147,P04626,11.900000875
40487,mol_270147,P04629,11.699999383
40488,mol_270147,P05129,11.200000128
40489,mol_270147,P06213,11.400000202
40490,mol_270147,P06239,11.699999383
40491,mol_270147,P07949,11.999998417
40492,mol_270147,P08069,11.800000504000002
40493,mol_270147,P08581,11.599999679000002
40494,mol_270147,P10721,11.999998417
40495,mol_270147,P11309,11.1
40496,mol_270147,P11362,11.400000202
40497,mol_270147,P12931,11.800000504000002
