[I 2023-12-26 14:01:21,827] Using an existing study with name 'TransformerConv' instead of creating a new one.
/home/kuangr/inoue019/.conda/envs/py39/lib/python3.9/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
[I 2023-12-26 14:19:50,237] Trial 3 finished with values: [36234.35628125, 39217.009765625] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 20:40:19,848] Trial 27 finished with values: [36348.95875046781, 39826.75008138021] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 20:43:07,930] Trial 28 finished with values: [38629.22053938997, 41926.49666341146] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 21:06:25,397] Trial 29 finished with values: [35881.96092382813, 39925.36728378081] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 21:28:08,461] Trial 30 finished with values: [37003.21857226563, 40692.06470070423] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 21:51:26,180] Trial 31 finished with values: [36205.594640625, 39828.228914502644] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 22:14:56,439] Trial 32 finished with values: [40012.4435546875, 43291.247854313384] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 22:24:54,267] Trial 33 finished with values: [36512.85348053892, 40338.41943359375] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 22:27:20,764] Trial 34 finished with values: [38515.20088671875, 41504.00767495599] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 22:30:16,397] Trial 35 finished with values: [39363.5425, 42382.42164117518] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 22:44:44,638] Trial 36 finished with values: [37255.85675, 40905.5244140625] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 22:47:09,458] Trial 37 finished with values: [37925.26104041916, 40990.304361979164] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 23:12:13,242] Trial 38 finished with values: [35243.69425991766, 38674.817057291664] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 23:15:00,098] Trial 39 finished with values: [38609.33384403069, 41834.554443359375] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 23:41:58,387] Trial 40 finished with values: [36201.18191015625, 40038.637887874116] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 00:05:24,509] Trial 41 finished with values: [36382.46641796875, 39360.19796709947] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 00:15:42,377] Trial 42 finished with values: [36944.806078125, 40691.399576822914] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 00:26:47,576] Trial 43 finished with values: [37198.13521875, 40737.73904079861] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 00:50:08,426] Trial 44 finished with values: [37099.70946289063, 41105.48115647007] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 00:52:45,923] Trial 45 finished with values: [38647.26519140625, 42426.549969740314] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 01:03:44,399] Trial 46 finished with values: [37419.19363867187, 41067.71023602553] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 01:23:38,669] Trial 47 finished with values: [37827.94010806512, 40913.842122395836] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 01:42:20,030] Trial 48 finished with values: [37068.5991328125, 41119.435601892605] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 01:44:51,658] Trial 49 finished with values: [39719.5424453125, 43544.196451822914] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 02:04:52,760] Trial 50 finished with values: [36367.634274419914, 39972.33943684896] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 02:07:11,405] Trial 51 finished with values: [38521.07896706587, 42249.44099934896] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 02:18:22,184] Trial 52 finished with values: [38159.66187695313, 41222.136498679574] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 02:44:23,086] Trial 53 finished with values: [35978.6977578125, 39046.40185546875] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 02:58:18,666] Trial 54 finished with values: [36494.93149609375, 40585.13272997359] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 03:11:26,076] Trial 55 finished with values: [37025.747015625, 39887.28363715278] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 03:33:28,640] Trial 56 finished with values: [39616.63190234375, 43655.215669014084] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 03:43:39,925] Trial 57 finished with values: [37061.58525916916, 41331.01407877604] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 03:46:01,034] Trial 58 finished with values: [38047.278796875, 42208.530381944445] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 03:48:54,071] Trial 59 finished with values: [38825.30846875, 42457.53982204861] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 03:59:20,307] Trial 60 finished with values: [38806.235875, 41940.694661458336] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 04:12:11,874] Trial 61 finished with values: [36040.785436938626, 39024.81648763021] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 04:44:23,791] Trial 62 finished with values: [35926.90755988024, 39426.441080729164] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 04:58:21,073] Trial 63 finished with values: [37349.47075390625, 39996.12469740317] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 05:09:27,017] Trial 64 finished with values: [36610.84102498129, 39855.375732421875] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 05:37:04,337] Trial 65 finished with values: [39284.61797265625, 43069.968942561616] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 05:47:19,713] Trial 66 finished with values: [35734.705581025446, 38762.807942708336] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 06:01:23,178] Trial 67 finished with values: [37183.82839648437, 40931.382826254405] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 06:25:28,312] Trial 68 finished with values: [40035.6227109375, 44096.717016945426] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 06:51:35,470] Trial 69 finished with values: [35416.9759921875, 38799.39111328125] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 07:15:13,231] Trial 70 finished with values: [36471.92662695312, 38957.99466329225] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 07:47:13,929] Trial 71 finished with values: [36414.95820703125, 40143.032006492074] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 08:12:31,213] Trial 72 finished with values: [35441.96379116766, 40519.121419270836] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 08:34:23,609] Trial 73 finished with values: [37598.9461328125, 41232.65362290933] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 08:48:11,548] Trial 74 finished with values: [36214.73325, 39494.99731789173] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 08:50:39,404] Trial 75 finished with values: [38154.18351171875, 41711.078771456865] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 09:14:09,878] Trial 76 finished with values: [36808.99701367188, 39966.07453510123] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 09:26:06,568] Trial 77 finished with values: [39430.6093515625, 43353.743356624116] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 09:45:58,347] Trial 78 finished with values: [35345.93091551273, 38618.72892252604] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 10:07:34,515] Trial 79 finished with values: [38316.202296875, 41776.1367462588] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 10:36:41,047] Trial 80 finished with values: [36596.12939453125, 40175.47374284771] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 10:49:24,993] Trial 81 finished with values: [37316.41442505614, 40491.509928385414] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 10:52:11,707] Trial 82 finished with values: [40025.214282372755, 42891.75626627604] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 11:14:01,854] Trial 83 finished with values: [37418.58203710937, 40480.71836487676] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 11:25:20,422] Trial 84 finished with values: [38074.434822265626, 41446.50909165933] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 11:51:45,286] Trial 85 finished with values: [35806.81321875, 38891.96576605903] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 12:12:12,511] Trial 86 finished with values: [36166.68276337949, 39235.759602864586] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 12:40:13,663] Trial 87 finished with values: [36280.237765625, 39331.057424625884] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 13:06:06,340] Trial 88 finished with values: [37131.38881221931, 40735.35400390625] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 13:16:00,120] Trial 89 finished with values: [38545.34154101562, 41403.784936179574] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 13:44:04,788] Trial 90 finished with values: [38555.45662890625, 40164.68788512324] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 14:06:30,401] Trial 91 finished with values: [37965.61740234375, 41255.68976947623] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 14:18:45,197] Trial 92 finished with values: [36940.80541015625, 39486.75045389525] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 14:39:06,812] Trial 93 finished with values: [36046.05737743263, 39065.083251953125] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 15:03:18,779] Trial 94 finished with values: [36369.87051757812, 40217.110159000884] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 15:06:12,270] Trial 95 finished with values: [38352.597118263475, 41720.869954427086] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 15:26:38,276] Trial 96 finished with values: [36512.790325598806, 39347.2001953125] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 15:29:30,819] Trial 97 finished with values: [37675.16665886976, 40968.333251953125] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 15:51:19,704] Trial 98 finished with values: [36821.64124023438, 40888.80035486355] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 16:00:40,798] Trial 99 finished with values: [38506.8864765625, 41232.0995818662] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 16:25:05,631] Trial 100 finished with values: [37561.97181445312, 41105.9521209287] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 16:35:19,652] Trial 101 finished with values: [37199.431126029194, 42043.543782552086] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 17:02:46,331] Trial 102 finished with values: [43377.8904609375, 47823.84207196303] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 17:12:51,786] Trial 103 finished with values: [36269.40444891467, 39308.906412760414] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 17:40:12,558] Trial 104 finished with values: [35997.94029296875, 39266.44814590669] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 18:06:06,474] Trial 105 finished with values: [35766.7420390625, 38929.33230251736] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 18:34:04,147] Trial 106 finished with values: [36792.5384140625, 40379.64501265405] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 19:03:52,135] Trial 107 finished with values: [35728.67888476563, 39187.30754841549] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 19:26:37,444] Trial 108 finished with values: [35547.6159453125, 38788.352376302086] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
