[I 2023-12-26 14:01:21,840] Using an existing study with name 'GCNConv' instead of creating a new one.
/home/kuangr/inoue019/.conda/envs/py39/lib/python3.9/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
[I 2023-12-26 14:24:09,610] Trial 3 finished with values: [38920.280712013475, 42322.36319986979] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 20:38:21,712] Trial 45 finished with values: [39944.924984375, 43010.9404296875] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 20:46:40,588] Trial 46 finished with values: [40250.360865234376, 43526.61512433979] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 20:48:32,665] Trial 47 finished with values: [45151.9269765625, 48713.701334635414] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 20:55:50,603] Trial 48 finished with values: [39475.37659375, 42007.882161458336] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 20:57:33,595] Trial 49 finished with values: [45621.95094966317, 49595.124186197914] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 20:59:26,210] Trial 50 finished with values: [45568.62866796875, 49997.72269751321] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 21:01:19,982] Trial 51 finished with values: [44103.724172851566, 48752.77940691021] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 21:15:44,388] Trial 52 finished with values: [38709.932085048655, 41770.839680989586] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 21:17:27,426] Trial 53 finished with values: [45641.255262911676, 49623.70418294271] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 21:26:17,949] Trial 54 finished with values: [40142.14661914062, 43517.05534771127] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 21:33:37,949] Trial 55 finished with values: [40066.1367772268, 43274.91886393229] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 21:40:58,281] Trial 56 finished with values: [40324.98232831212, 43652.458658854164] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 21:56:59,518] Trial 57 finished with values: [39068.4594453125, 41802.83501519097] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 22:10:55,564] Trial 58 finished with values: [38886.6083107223, 41830.12654622396] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 22:24:20,312] Trial 59 finished with values: [42787.5059921875, 47205.711534288195] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 22:26:39,452] Trial 60 finished with values: [44265.16884570313, 49324.949383802814] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 22:33:58,604] Trial 61 finished with values: [45251.1161232223, 49372.39990234375] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 22:48:23,437] Trial 62 finished with values: [42147.59505988024, 46046.02010091146] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 22:50:14,524] Trial 63 finished with values: [45552.6304851235, 49664.832763671875] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 23:04:05,790] Trial 64 finished with values: [39366.68478667665, 42338.109537760414] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 23:18:28,152] Trial 65 finished with values: [39537.002491111525, 42951.39998372396] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 23:25:49,189] Trial 66 finished with values: [39950.21566242515, 43478.90665690104] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 23:27:44,592] Trial 67 finished with values: [43034.54029785156, 47057.760618397886] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 23:35:57,419] Trial 68 finished with values: [40179.72175, 43593.322430677814] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 23:44:06,414] Trial 69 finished with values: [41846.7866640625, 45032.54758029514] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 23:45:57,083] Trial 70 finished with values: [45695.16092814371, 49659.563802083336] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 23:47:50,940] Trial 71 finished with values: [44019.01782128906, 48601.81758912852] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 23:54:55,678] Trial 72 finished with values: [39721.6289647268, 42905.396321614586] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 00:02:14,483] Trial 73 finished with values: [40505.77457194985, 43713.22998046875] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 00:09:34,337] Trial 74 finished with values: [40329.4591796875, 43433.820638020836] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 00:17:50,171] Trial 75 finished with values: [39835.83784179688, 43111.98803367077] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 00:25:46,008] Trial 76 finished with values: [40109.70595527695, 43777.88728841146] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 00:35:12,964] Trial 77 finished with values: [40290.85598925781, 43805.47007042253] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 00:52:06,780] Trial 78 finished with values: [39390.473, 43037.11889304577] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 01:00:25,276] Trial 79 finished with values: [40221.61304734281, 43250.218098958336] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 01:15:18,595] Trial 80 finished with values: [40100.4968671875, 43347.131510416664] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 01:17:19,205] Trial 81 finished with values: [45195.0451328125, 48756.0625] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 01:24:55,738] Trial 82 finished with values: [40117.12372520584, 43253.33455403646] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 01:41:49,382] Trial 83 finished with values: [39738.62376367187, 43588.895356514084] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 01:50:51,672] Trial 84 finished with values: [40348.27425488281, 43723.48500770247] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 02:00:28,193] Trial 85 finished with values: [40508.3388046875, 44140.29189590669] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 02:15:55,355] Trial 86 finished with values: [41988.5425944985, 45866.918701171875] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 02:17:47,931] Trial 87 finished with values: [45419.0813046875, 49404.76763237847] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 02:19:42,672] Trial 88 finished with values: [45482.5965859375, 49352.62917751736] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 02:36:51,557] Trial 89 finished with values: [39065.8532109375, 42009.05902777778] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 02:53:28,898] Trial 90 finished with values: [39789.73278443114, 43428.10994466146] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 03:01:38,593] Trial 91 finished with values: [39452.7596875, 42310.4228515625] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 03:16:33,908] Trial 92 finished with values: [38631.801249064374, 43376.37898763021] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 03:24:09,888] Trial 93 finished with values: [40416.16999204716, 43950.24845377604] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 03:26:14,551] Trial 94 finished with values: [45528.20151953125, 49948.483838578344] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 03:33:52,602] Trial 95 finished with values: [40077.53434927021, 43033.84269205729] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 03:49:55,603] Trial 96 finished with values: [39532.77522688997, 42994.96630859375] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 04:11:28,641] Trial 97 finished with values: [38494.94415465943, 41905.73779296875] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 04:13:29,626] Trial 98 finished with values: [45479.13676553144, 49339.488444010414] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 04:22:12,887] Trial 99 finished with values: [39291.9957734375, 42734.9501678037] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 04:39:19,946] Trial 100 finished with values: [42462.9094296875, 47646.566846390844] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 04:54:39,344] Trial 101 finished with values: [38838.42300944985, 41863.731282552086] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 04:56:37,945] Trial 102 finished with values: [45202.94415465943, 49177.162841796875] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 05:11:54,626] Trial 103 finished with values: [39094.7701484375, 41851.02875434028] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 05:27:09,283] Trial 104 finished with values: [39357.22132297904, 43022.28751627604] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 05:43:42,331] Trial 105 finished with values: [38544.9156998503, 42549.710611979164] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 05:45:30,624] Trial 106 finished with values: [45674.54712060255, 49618.93896484375] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 06:02:01,282] Trial 107 finished with values: [39441.47594264596, 43154.74015299479] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 06:19:02,380] Trial 108 finished with values: [39291.76057617187, 42508.47958846831] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
