[I 2023-12-26 14:01:23,877] Using an existing study with name 'GATv2Conv' instead of creating a new one.
/home/kuangr/inoue019/.conda/envs/py39/lib/python3.9/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
[I 2023-12-26 14:12:05,591] Trial 4 finished with values: [38183.85492382813, 42393.16805127641] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 16:41:54,948] Trial 20 finished with values: [41043.334666015624, 45304.61476672535] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 16:55:50,753] Trial 21 finished with values: [38526.42600390625, 42008.15213743398] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 17:24:46,899] Trial 22 finished with values: [36981.3233671875, 40476.28840228873] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 17:46:15,928] Trial 23 finished with values: [37930.2136875, 40879.18109809028] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 17:49:08,709] Trial 24 finished with values: [39099.3682421875, 42062.351182725695] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 18:01:41,364] Trial 25 finished with values: [38373.665421875, 41708.8144806338] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 18:29:55,794] Trial 26 finished with values: [39696.746671875, 43448.54481183979] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 18:32:18,940] Trial 27 finished with values: [38326.260921875, 41581.15972222222] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 18:58:27,588] Trial 28 finished with values: [37460.7801953125, 40596.9404296875] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 19:00:58,421] Trial 29 finished with values: [37379.06800851422, 40378.681315104164] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 19:03:48,367] Trial 30 finished with values: [38547.28929640719, 41330.006998697914] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 19:26:37,253] Trial 31 finished with values: [36826.59754296875, 40119.38286675347] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 19:31:16,458] Trial 32 finished with values: [38501.885327002245, 42036.201904296875] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 19:34:21,532] Trial 33 finished with values: [40361.6317265625, 43042.881505831865] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 19:45:58,524] Trial 34 finished with values: [39557.852515625, 43028.840440538195] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-26 19:53:07,088] Trial 35 finished with values: [39257.288770116014, 42770.829345703125] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 19:55:27,908] Trial 36 finished with values: [38870.890344311374, 42159.26131184896] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 19:58:22,425] Trial 37 finished with values: [38991.801921875, 42485.792154947914] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 20:19:08,874] Trial 38 finished with values: [37187.47790746632, 40394.80419921875] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 20:32:21,490] Trial 39 finished with values: [37909.2651015625, 41032.77294921875] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 20:46:33,022] Trial 40 finished with values: [37465.289953125, 41091.782281580105] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 20:49:24,690] Trial 41 finished with values: [38338.01472445734, 41735.656494140625] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-26 21:00:59,614] Trial 42 finished with values: [37471.25336132813, 40753.88433923855] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 21:22:21,309] Trial 43 finished with values: [38187.4715234375, 41509.47564019097] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 21:33:59,967] Trial 44 finished with values: [38350.329984375, 41860.935655381945] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-26 21:54:39,101] Trial 45 finished with values: [37699.81379818488, 40937.350830078125] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 22:20:22,418] Trial 46 finished with values: [37050.61253274701, 40250.773274739586] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-26 22:24:35,789] Trial 47 finished with values: [38464.69414296407, 42038.48624674479] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 22:26:57,278] Trial 48 finished with values: [38967.9501075973, 41959.12784830729] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 22:29:40,239] Trial 49 finished with values: [38693.4524453125, 41691.47515190972] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-26 22:59:09,404] Trial 50 finished with values: [40026.0489453125, 42983.79616970486] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-26 23:12:12,136] Trial 51 finished with values: [37293.68002666542, 40564.019856770836] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 23:37:49,146] Trial 52 finished with values: [37470.8857714259, 40817.98429361979] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 23:49:25,816] Trial 53 finished with values: [37767.587328125, 40901.749620225695] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-26 23:51:46,367] Trial 54 finished with values: [38114.01375374252, 41319.89404296875] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-26 23:54:40,904] Trial 55 finished with values: [40287.905703125, 45136.300944010414] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 00:22:46,837] Trial 56 finished with values: [38021.84728125, 41744.23726342429] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 00:25:37,659] Trial 57 finished with values: [41472.034746912424, 45273.724365234375] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 00:28:32,147] Trial 58 finished with values: [41498.9991953125, 44871.10698784722] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 00:39:57,398] Trial 59 finished with values: [37873.85820546407, 41573.41398111979] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 01:01:17,153] Trial 60 finished with values: [37211.968203125, 40337.11111111111] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 01:27:57,062] Trial 61 finished with values: [39121.9750078125, 42616.274088541664] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 01:34:17,973] Trial 62 finished with values: [39329.58224414063, 42887.754346390844] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 01:55:39,906] Trial 63 finished with values: [37213.755414951345, 41635.8583984375] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 02:22:02,971] Trial 64 finished with values: [37231.2811328125, 40129.99001736111] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 02:24:57,307] Trial 65 finished with values: [38098.137420471554, 41376.319010416664] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 02:51:04,587] Trial 66 finished with values: [38387.405536583086, 42122.812744140625] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 03:04:28,430] Trial 67 finished with values: [37631.67778125, 40833.104329427086] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 03:07:19,545] Trial 68 finished with values: [37775.03447791916, 41056.27978515625] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 03:28:21,298] Trial 69 finished with values: [38367.06644133608, 41805.0869140625] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 03:49:14,746] Trial 70 finished with values: [43887.9902928518, 47895.249837239586] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 04:01:07,222] Trial 71 finished with values: [37074.000549681885, 40230.93562825521] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 04:13:47,000] Trial 72 finished with values: [38288.13903515625, 41209.326777068665] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 04:21:20,113] Trial 73 finished with values: [39346.46277367141, 43185.15576171875] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 04:49:38,933] Trial 74 finished with values: [38790.44756640625, 42861.99836322623] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 05:03:09,667] Trial 75 finished with values: [40263.033125, 43417.24093967014] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 05:05:34,312] Trial 76 finished with values: [40844.243438903446, 44591.455078125] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 05:18:09,183] Trial 77 finished with values: [43233.30886132812, 47040.18406139965] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 05:31:15,635] Trial 78 finished with values: [37350.2913898765, 41516.83927408854] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 05:53:53,761] Trial 79 finished with values: [37139.14657793788, 40358.0302734375] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 06:08:14,190] Trial 80 finished with values: [42659.32009375, 47052.43195697623] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 06:31:42,723] Trial 81 finished with values: [37752.7718203125, 40687.352864583336] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 06:44:21,792] Trial 82 finished with values: [38348.58146875, 41607.46216164173] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 06:47:16,425] Trial 83 finished with values: [38684.66430810255, 41593.591471354164] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 06:50:08,531] Trial 84 finished with values: [37595.80671079716, 40722.406005859375] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 06:52:31,731] Trial 85 finished with values: [38779.18859936377, 42292.317057291664] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 07:19:05,290] Trial 86 finished with values: [37209.7795, 40415.13552517361] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 07:37:07,955] Trial 87 finished with values: [37255.6579140625, 40535.052571614586] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 08:03:37,211] Trial 88 finished with values: [38092.3187578125, 41460.752821180555] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 08:06:45,144] Trial 89 finished with values: [39170.64161328125, 42561.44883362676] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 08:18:31,224] Trial 90 finished with values: [39250.1300390625, 42953.52389139525] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 08:44:48,190] Trial 91 finished with values: [37481.01256081587, 40851.133951822914] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 08:55:27,866] Trial 92 finished with values: [37771.09587855539, 41608.649739583336] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 09:09:47,804] Trial 93 finished with values: [38032.441341796875, 40938.505006602114] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 09:12:24,226] Trial 94 finished with values: [37950.340125, 41894.15834066901] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 09:34:36,741] Trial 95 finished with values: [37507.87816796875, 40835.14360894097] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 09:46:22,185] Trial 96 finished with values: [37244.36803125, 40556.516221788195] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 10:12:43,514] Trial 97 finished with values: [41868.7197109375, 45901.127061631945] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 10:38:02,730] Trial 98 finished with values: [38503.20104296875, 41490.25122414173] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 10:49:48,933] Trial 99 finished with values: [38387.3451171875, 41777.545518663195] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 10:52:42,608] Trial 100 finished with values: [37799.76823306512, 41114.913411458336] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 10:55:05,083] Trial 101 finished with values: [39036.59742234281, 42302.884521484375] and parameters: {'batch_size': 150, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 11:16:34,154] Trial 102 finished with values: [37426.61318359375, 40262.24896918403] and parameters: {'batch_size': 100, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 11:44:52,818] Trial 103 finished with values: [42257.967123046874, 46159.59297975352] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 11:47:46,169] Trial 104 finished with values: [38292.65835516467, 42269.541341145836] and parameters: {'batch_size': 150, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 12:14:22,525] Trial 105 finished with values: [37374.30303125, 40421.939290364586] and parameters: {'batch_size': 100, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 12:17:17,859] Trial 106 finished with values: [38735.96001356662, 41855.1298828125] and parameters: {'batch_size': 150, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 12:45:47,530] Trial 107 finished with values: [39652.29615429688, 42957.96298690581] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 13:14:05,762] Trial 108 finished with values: [37984.587140625, 40896.20626100352] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 13:28:22,192] Trial 109 finished with values: [37010.046734375, 40459.940755208336] and parameters: {'batch_size': 100, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
