[I 2023-12-26 11:46:16,834] A new study created in RDB with name: cmap_GCNConv
/home/kuangr/inoue019/.conda/envs/py39/lib/python3.9/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
[I 2023-12-26 13:28:02,190] Trial 0 finished with values: [15290.939334831191, 47166.53457141596] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-26 22:48:15,848] Trial 13 finished with values: [28175.592177734376, 32385.301867847713] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 00:14:11,825] Trial 14 finished with values: [23562.1237966028, 32050.681279069286] and parameters: {'batch_size': 10, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 01:25:49,837] Trial 15 finished with values: [19927.517035590277, 33156.970474458074] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 02:07:24,452] Trial 16 finished with values: [20246.00887691891, 37215.49402285294] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 03:34:46,044] Trial 17 finished with values: [24523.1408205716, 34677.91518665034] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 04:59:46,789] Trial 18 finished with values: [16456.955489886204, 39298.81061704819] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 06:06:05,863] Trial 19 finished with values: [20946.29409667969, 32394.546008472713] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 06:13:58,450] Trial 20 finished with values: [27718.727788085936, 32215.797191351234] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 06:43:27,874] Trial 21 finished with values: [20792.512421875, 34152.027192451584] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 07:22:24,216] Trial 22 finished with values: [24456.159531770154, 38993.81690970383] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 08:24:27,287] Trial 23 finished with values: [21499.263473067793, 31681.46416806503] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 09:42:38,832] Trial 24 finished with values: [20641.114233711312, 31511.959007478705] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 10:16:42,491] Trial 25 finished with values: [20244.478349321, 32402.860841133224] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-27 11:13:34,703] Trial 26 finished with values: [19438.3786862793, 36304.92058208627] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 11:27:17,220] Trial 27 finished with values: [28403.02465649243, 33328.8056760976] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 12:37:39,951] Trial 28 finished with values: [21052.60468241822, 32359.87057029595] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 13:52:40,727] Trial 29 finished with values: [15956.30645391413, 35807.25848552467] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 14:31:20,288] Trial 30 finished with values: [28980.146976860513, 33561.97463420286] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 14:45:02,616] Trial 31 finished with values: [30302.66293099082, 34262.15871623411] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 15:42:48,455] Trial 32 finished with values: [18915.49797705078, 33765.181860695426] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 15:53:27,000] Trial 33 finished with values: [27234.365976083507, 32225.03017199879] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 16:53:21,655] Trial 34 finished with values: [17967.215274234197, 37192.15410560286] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 16:59:48,138] Trial 35 finished with values: [28293.198755859376, 32326.570862676057] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 17:06:24,659] Trial 36 finished with values: [27317.969979492187, 32682.196963028167] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 17:34:42,857] Trial 37 finished with values: [23359.732843261718, 32485.578193772006] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 17:47:12,201] Trial 38 finished with values: [27829.945235351563, 32232.6464981294] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 18:22:57,408] Trial 39 finished with values: [18586.923958249412, 37920.84073772538] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 19:17:35,177] Trial 40 finished with values: [20340.67140283203, 32055.6406387544] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-27 19:27:01,097] Trial 41 finished with values: [28227.9337109375, 32740.93807768486] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-27 19:33:59,381] Trial 42 finished with values: [27819.546840786097, 32441.0126987511] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-27 20:05:48,081] Trial 43 finished with values: [21264.008067393566, 33065.09697712643] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-27 20:40:53,054] Trial 44 finished with values: [20653.21295225902, 33475.839002706234] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-27 21:50:17,355] Trial 45 finished with values: [22022.19071390727, 31189.668930698448] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-27 21:58:41,347] Trial 46 finished with values: [32389.257751489287, 35834.79808604785] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-27 23:08:14,372] Trial 47 finished with values: [20506.7607137965, 32172.358642233292] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-27 23:39:37,880] Trial 48 finished with values: [21787.97888720703, 31440.188985475354] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-28 00:17:51,782] Trial 49 finished with values: [23091.189939695556, 33060.976490289395] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-28 01:16:31,907] Trial 50 finished with values: [20591.800565429687, 31882.231362786093] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-28 02:21:22,182] Trial 51 finished with values: [21164.430178469484, 33227.02893958293] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-28 02:59:56,627] Trial 52 finished with values: [22297.793369140625, 32304.887626540494] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-28 04:04:00,587] Trial 53 finished with values: [16748.183433433434, 49737.653289365095] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-28 04:43:11,002] Trial 54 finished with values: [28334.690598860234, 33134.11296779827] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-28 04:50:24,550] Trial 55 finished with values: [27854.571161982294, 32191.361455353213] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-28 05:26:52,474] Trial 56 finished with values: [20992.146085287695, 34613.6073504949] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-28 05:41:43,027] Trial 57 finished with values: [28558.17898073855, 32477.768492792693] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-28 06:11:35,712] Trial 58 finished with values: [21106.256932128905, 31831.079170334506] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-28 07:11:42,360] Trial 59 finished with values: [21149.95725865025, 33863.45843140508] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-28 08:11:53,642] Trial 60 finished with values: [19228.81379157478, 33510.828386333626] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-28 08:25:46,803] Trial 61 finished with values: [27169.30214160156, 32809.67934363997] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-28 09:21:01,939] Trial 62 finished with values: [18835.319120117187, 35117.40555540273] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-28 09:48:59,835] Trial 63 finished with values: [20812.014150390623, 32207.373940911093] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-28 11:00:59,763] Trial 64 finished with values: [23587.465113629518, 32193.55292825645] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-28 12:22:25,930] Trial 65 finished with values: [26772.35161146012, 32270.240369204075] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-28 13:29:56,570] Trial 66 finished with values: [16196.570588527033, 36685.08369506146] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-28 13:57:15,496] Trial 67 finished with values: [23711.919918945314, 32568.303944762323] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-28 14:09:42,041] Trial 68 finished with values: [28146.763327148437, 32417.351438710386] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-28 14:40:31,239] Trial 69 finished with values: [22626.63720018847, 31634.48148270728] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-28 15:37:33,848] Trial 70 finished with values: [20347.281224828344, 33091.88511593241] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-28 16:09:12,025] Trial 71 finished with values: [20308.960163532673, 36004.801438882314] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-28 16:42:58,430] Trial 72 finished with values: [22497.283131383636, 31514.603094068625] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-28 18:18:38,042] Trial 73 finished with values: [19638.30897425746, 32202.568407515406] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-28 18:25:27,264] Trial 74 finished with values: [27460.044063106074, 32468.526919082855] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-28 18:32:14,634] Trial 75 finished with values: [27370.695349890906, 32089.846437266177] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-28 19:45:12,551] Trial 76 finished with values: [23929.6461250571, 33561.11874820688] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': True, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-28 19:55:11,862] Trial 77 finished with values: [27586.400583984374, 32263.029558208626] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-28 20:03:46,882] Trial 78 finished with values: [26837.665916992188, 32464.860681668135] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.3, 'is_attention': True, 'lr': 0.01, 'epochs': 10}. 
[I 2023-12-28 21:03:24,891] Trial 79 finished with values: [20063.896115231444, 32911.49849883603] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-28 22:11:13,669] Trial 80 finished with values: [22661.77681541825, 32017.951114460575] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-28 22:19:05,546] Trial 81 finished with values: [27088.905943359376, 32940.22830930898] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-28 23:31:46,143] Trial 82 finished with values: [24387.879805241388, 34130.23860142595] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-29 00:45:14,667] Trial 83 finished with values: [21128.27050634619, 31568.951032396773] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-29 01:18:47,484] Trial 84 finished with values: [20322.76016323941, 34376.047409702354] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': True, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-29 01:27:13,036] Trial 85 finished with values: [28327.947216992383, 33556.09543147557] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-29 02:31:49,747] Trial 86 finished with values: [18360.2890804623, 36119.820295307] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-29 03:45:23,709] Trial 87 finished with values: [21219.90622843302, 31455.405682201115] and parameters: {'batch_size': 25, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-29 04:44:05,852] Trial 88 finished with values: [20086.189048583983, 35188.87911256602] and parameters: {'batch_size': 50, 'drug_hidden': 64, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-29 05:17:07,824] Trial 89 finished with values: [22746.15076282337, 33472.90855987979] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-29 05:54:08,437] Trial 90 finished with values: [21728.65683544922, 31256.51583131602] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 32, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-29 06:56:22,342] Trial 91 finished with values: [21017.97189670139, 33028.86358470648] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-29 07:30:06,415] Trial 92 finished with values: [21683.431769538092, 31603.233729402786] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': True, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-29 08:11:16,379] Trial 93 finished with values: [25937.36955704267, 34625.78310691704] and parameters: {'batch_size': 10, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-29 08:57:06,554] Trial 94 finished with values: [22952.316745499873, 31377.25458324023] and parameters: {'batch_size': 10, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 50}. 
[I 2023-12-29 10:02:02,617] Trial 95 finished with values: [21064.835222551654, 32739.855984540052] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': True, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-29 10:09:02,040] Trial 96 finished with values: [27617.647416992186, 32177.469203895245] and parameters: {'batch_size': 50, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.0001, 'epochs': 10}. 
[I 2023-12-29 10:17:24,195] Trial 97 finished with values: [28377.70533872825, 32965.03563108283] and parameters: {'batch_size': 10, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.3, 'is_attention': False, 'lr': 0.001, 'epochs': 10}. 
[I 2023-12-29 10:50:36,280] Trial 98 finished with values: [22508.515713222987, 31255.371155644807] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.001, 'epochs': 50}. 
[I 2023-12-29 12:05:40,180] Trial 99 finished with values: [16970.03751239158, 35362.81962025098] and parameters: {'batch_size': 10, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.2, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-29 13:16:52,594] Trial 100 finished with values: [20243.344190259595, 31988.33925317039] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.2, 'is_attention': False, 'lr': 0.001, 'epochs': 100}. 
[I 2023-12-29 14:32:25,485] Trial 101 finished with values: [15725.12413807702, 36308.22433075123] and parameters: {'batch_size': 10, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.0001, 'epochs': 100}. 
[I 2023-12-29 15:37:20,032] Trial 102 finished with values: [16992.360815771826, 38322.489121128136] and parameters: {'batch_size': 25, 'drug_hidden': 16, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
[I 2023-12-29 16:19:00,700] Trial 103 finished with values: [22667.395874390015, 32537.805258307657] and parameters: {'batch_size': 25, 'drug_hidden': 64, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': True, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-29 16:49:41,303] Trial 104 finished with values: [21354.251762695312, 31453.748184419015] and parameters: {'batch_size': 50, 'drug_hidden': 32, 'protein_hidden': 16, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 50}. 
[I 2023-12-29 18:05:05,736] Trial 105 finished with values: [16358.193540463888, 36662.16286852131] and parameters: {'batch_size': 10, 'drug_hidden': 32, 'protein_hidden': 64, 'dropout': 0.1, 'is_attention': False, 'lr': 0.01, 'epochs': 100}. 
